0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
203,20,10,256,1,8,236,12,9,152,40,3,64,1,8,128,1,5,64,1,3,204,20,7,0,2,1,3,0,8,1,10,0.70120
83,20,4,128,1,5,64,1,9,100,12,3,172,12,6,128,1,3,0,0,0,0,0,0,1,2,1,3,1,5,1,10,0.71280
64,1,5,128,1,5,184,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,0,5,0,0,0.70340
128,1,5,224,20,8,256,1,6,232,40,5,192,40,4,0,0,0,0,0,0,0,0,0,0,2,1,3,0,4,1,9,0.69980
103,20,5,256,1,7,164,12,3,200,12,6,128,1,3,0,0,0,0,0,0,0,0,0,0,2,1,3,1,5,1,9,0.76080
87,12,7,152,40,3,192,40,4,128,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,5,1,7,0,8,0.74300
203,20,10,128,1,5,184,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,5,0,0,0.73080
123,20,6,232,40,5,152,40,3,64,1,8,204,20,7,0,0,0,0,0,0,0,0,0,1,3,0,5,0,8,0,9,0.37500
123,20,6,207,12,7,200,12,6,256,1,10,128,1,8,0,0,0,0,0,0,0,0,0,0,3,1,4,1,6,1,9,0.74000
128,1,3,164,12,3,124,20,3,64,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,1,7,0,8,0.71900
83,20,4,128,1,5,192,40,4,184,20,6,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,1,6,1,7,0.68720
111,12,9,64,1,10,152,40,3,64,1,8,128,1,4,64,1,4,0,0,0,0,0,0,1,2,0,5,1,6,0,10,0.71020
83,20,4,128,1,5,224,20,8,256,1,6,232,40,5,192,40,4,0,0,0,0,0,0,1,2,1,3,0,5,1,10,0.68280
128,1,3,224,20,8,256,1,6,232,40,5,192,40,4,232,40,5,192,40,4,0,0,0,0,2,1,3,0,4,1,11,0.66380
123,20,6,232,40,5,152,40,3,256,1,10,128,1,8,0,0,0,0,0,0,0,0,0,1,3,0,5,1,6,1,9,0.73140
203,20,10,128,1,5,192,40,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,5,1,7,0.73400
128,1,5,224,20,8,256,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,4,1,7,0.72120
83,20,4,128,1,5,64,1,9,100,12,3,172,12,6,128,1,3,0,0,0,0,0,0,1,2,1,3,1,5,0,10,0.69900
83,20,4,256,1,8,236,12,9,152,40,3,64,1,8,128,1,5,64,1,3,204,20,7,1,2,1,3,0,8,1,10,0.64820
111,12,9,64,1,10,152,40,3,64,1,8,128,1,4,64,1,4,0,0,0,0,0,0,1,2,0,5,1,6,1,10,0.70680
203,20,10,184,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,4,0,0,0.69360
83,20,4,128,1,5,64,1,9,100,12,3,64,1,4,0,0,0,0,0,0,0,0,0,1,2,1,3,1,5,1,9,0.70120
83,20,4,128,1,5,64,1,9,64,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,1,5,0,8,0.69760
103,20,5,256,1,7,164,12,3,200,12,6,128,1,3,0,0,0,0,0,0,0,0,0,0,2,1,3,1,5,0,9,0.74000
111,12,9,128,1,5,184,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,1,4,0,6,0.68380
83,20,4,128,1,5,224,20,8,256,1,6,232,40,5,192,40,4,0,0,0,0,0,0,1,2,0,3,0,5,1,10,0.69680
203,20,10,128,1,5,128,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,5,0,7,0.73300
